vendor_name,service_month,consultant_count,hours_billed,amount_billed,amount_paid,accrual_amount,exception_count,accrual_pct
Patriot Consulting Inc.,2016-04-09,10,160,17600,0,17600,5,99.99
IDC Technologies,2015-03-31,10,352,17600,0,17600,10,99.99
NTT DATA Inc.,2020-05-02,5,176,17600,0,17600,5,99.99
Bayone Solutions Inc,2019-06-30,4,160,17600,0,17600,4,99.99
AIT Global Inc.,2024-05-31,5,176,17600,0,17600,5,99.99
"NGI Capital, Inc. dba Apex IT",2019-03-02,5,160,17600,0,17600,5,99.99
Infojini Inc,2018-05-05,10,155,17576.24,0,17576.24,8,99.99
"iTech US, Inc",2021-03-06,8,284,17560,0,17560,8,99.99
KPIT,2018-01-31,10,188,17560,0,17560,9,99.99
"Modis, Inc",2016-01-31,11,305,17555,0,17555,9,99.99
Tekis Hub,2016-02-29,9,168,17547.17,0,17547.17,5,99.99
Comptech Associates Inc.,2018-07-31,6,168,17536.43,0,17536.43,5,99.99
"International Logic Systems, Inc.",2017-08-31,10,210,17535,0,17535,10,99.99
Software People Inc,2018-01-31,14,358.5,17528.5,0,17528.5,14,99.99
"Innovatis Technologies, LLC",2017-08-31,12,389.5,17527.5,0,17527.5,12,99.99
Datanomics,2019-06-30,9,256,17520,0,17520,7,99.99
IDC Technologies,2015-06-30,11,352,17512.28,0,17512.28,10,99.99
e&e IT Consulting Services,2019-11-30,7,200,17500,0,17500,7,99.99
Infojini Inc,2018-06-09,6,162,17496,0,17496,6,99.99
"Unique IT Solutions,Inc",2019-10-31,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2022-04-02,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2018-10-31,5,184,17480,0,17480,5,99.99
Shri G LLC,2024-11-02,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2018-08-31,5,184,17480,0,17480,5,99.99
American Municipal Power Inc.,2023-08-31,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2017-03-31,5,184,17480,0,17480,5,99.99
AIT Global Inc.,2023-03-31,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2017-08-31,5,184,17480,0,17480,5,99.99
United Software Group,2022-07-31,10,312,17480,0,17480,10,99.99
"Unique IT Solutions,Inc",2016-08-31,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2021-03-31,5,184,17480,0,17480,5,99.99
"Unique IT Solutions,Inc",2022-08-31,5,184,17480,0,17480,5,99.99
Last Word Consulting Inc.,2018-08-31,10,368,17480,0,17480,10,99.99
The Maxis Group,2024-08-03,7,208,17472,0,17472,6,99.99
Logix Guru Inc.,2017-04-30,8,312,17464,0,17464,8,99.99
"Gridpoint, Inc",2019-06-08,6,176,17456,0,17456,6,99.99
BCforward,2018-05-31,12,353.25,17451.72,0,17451.72,12,99.99
AIT Global Inc.,2025-02-01,5,174.5,17450,0,17450,5,99.99
"NGI Capital, Inc. dba Apex IT",2016-03-31,5,174,17400,0,17400,5,99.99
"iTech US, Inc",2021-09-25,7,252,17393.28,0,17393.28,7,99.99
Knowledge Builders Inc,2023-08-31,8,196.5,17390.25,0,17390.25,8,99.99
Unique Computer Inc.,2021-04-30,7,196.5,17390.25,0,17390.25,7,99.99
"Digital Intelligence Systems, LLC (DISYS)",2020-04-04,5,176,17387.04,0,17387.04,5,99.99
"Digital Intelligence Systems, LLC (DISYS)",2020-05-02,5,176,17387.04,0,17387.04,5,99.99
Itbrainiac Inc,2016-06-30,11,352,17384,0,17384,11,99.99
Tekis Hub,2015-09-30,9,198,17372.42,0,17372.42,8,99.99
Comptech Associates Inc.,2018-08-31,17,193,17369.71,0,17369.71,11,99.99
"Diverse Lynx, LLC",2023-07-31,10,304,17360.96,0,17360.96,10,99.99
Tek Systems,2020-06-20,9,242.5,17360.54,0,17360.54,9,99.99
Naavya Infotech LLC,2024-03-16,11,248,17360,0,17360,9,99.99
"Innovatis Technologies, LLC",2018-05-31,11,347,17350,0,17350,11,99.99
"Enterprise Consulting Services, Inc",2017-05-31,5,173.5,17350,0,17350,5,99.99
IDC Technologies,2017-04-30,16,320,17347.44,0,17347.44,12,99.99
IDC Technologies,2017-07-31,10,320,17347.44,0,17347.44,10,99.99
Copper Mobile,2020-03-21,8,304,17328,0,17328,8,99.99
Devcare Solutions,2021-04-03,7,229,17312.4,0,17312.4,7,99.99
Tekis Hub,2015-08-31,10,168,17312.16,0,17312.16,5,99.99
Elire Inc.,2018-04-30,5,160,17300.36,0,17300.36,4,99.99
Acclaim Systems Inc,2014-05-03,7,200,17300,0,17300,7,99.99
Acclaim Systems Inc,2014-08-30,6,200,17300,0,17300,6,99.99
"Deltaformix Solutions, Inc",2016-04-02,5,184,17296,0,17296,5,99.99
Okaya Inc.,2024-05-31,5,184,17296,0,17296,5,99.99
Okaya Inc.,2023-03-31,5,184,17296,0,17296,5,99.99
"Gridpoint, Inc",2016-08-31,5,184,17296,0,17296,5,99.99
"Gridpoint, Inc",2017-08-31,5,184,17296,0,17296,5,99.99
"Gridpoint, Inc",2017-04-08,5,184,17296,0,17296,5,99.99
MindEdge Solutions,2023-09-02,5,184,17296,0,17296,5,99.99
"Gridpoint, Inc",2018-10-31,5,184,17296,0,17296,5,99.99
HireGenics Inc  (ACS Group),2024-05-31,5,198,17295.3,0,17295.3,5,99.99
"iTech US, Inc",2022-02-05,13,272,17293.28,0,17293.28,12,99.99
American Municipal Power Inc.,2024-07-31,5,182,17290,0,17290,5,99.99
Xchanging Solutions (USA) Inc,2015-09-30,11,339,17289,0,17289,11,99.99
Tek Systems,2014-11-30,10,297,17277.86,0,17277.86,10,99.99
"Unique IT Solutions,Inc",2018-01-31,6,176,17274.53,0,17274.53,5,99.99
VDart Inc,2017-07-31,10,320,17272,0,17272,9,99.99
Pyramid Consulting Inc.,2024-05-31,17,256,17261.45,0,17261.45,12,99.99
RSC Solutions (Resource Search Company),2017-06-30,15,488,17256,0,17256,14,99.99
"Unique IT Solutions,Inc",2017-10-31,18,176,17253.82,0,17253.82,9,99.99
Logix Guru Inc.,2017-07-31,10,308,17244,0,17244,10,99.99
Thretha Inc.,2025-04-05,12,252,17220,0,17220,10,99.99
Thretha Inc.,2024-12-31,10,252,17220,0,17220,10,99.99
AmpsTek LLC,2025-02-28,4,240,17210.4,0,17210.4,4,99.99
"Innovatis Technologies, LLC",2018-06-30,12,344,17200,0,17200,12,99.99
AIT Global Inc.,2024-09-30,5,172,17200,0,17200,5,99.99
"NGI Capital, Inc. dba Apex IT",2016-06-30,5,172,17200,0,17200,5,99.99
"NTT DATA, Inc",2015-10-31,11,273,17190,0,17190,9,99.99
CompuGain LLC,2014-11-30,10,219,17190,0,17190,9,99.99
Comptech Associates Inc.,2018-10-31,6,191,17190,0,17190,6,99.99
Tek Systems,2015-09-05,13,275.5,17173.95,0,17173.95,13,99.99
Info-Matrix Corporation,2014-10-31,13,274,17172.5,0,17172.5,11,99.99
Unique Computer Inc.,2021-03-31,8,194,17169,0,17169,8,99.99
Knowledge Builders Inc,2025-02-28,4,194,17169,0,17169,4,99.99
Graviton Consulting,2015-11-30,6,158,17137.4,0,17137.4,5,99.99
BCforward,2018-08-31,11,345,17123.04,0,17123.04,11,99.99
Spotline LLC.,2016-02-29,10,304,17120,0,17120,10,99.99
TechnosoftPro LLC,2024-04-30,7,232,17112,0,17112,7,99.99
"iTech US, Inc",2021-09-18,7,248,17093.28,0,17093.28,7,99.99
"NTT DATA, Inc",2014-11-30,8,284,17080,0,17080,8,99.99
"E-Solutions, Inc.",2022-01-31,11,325,17075,0,17075,11,99.99
"NGI Capital, Inc. dba Apex IT",2018-10-31,5,155,17050,0,17050,5,99.99
HireGenics Inc  (ACS Group),2021-05-31,8,195,17033.25,0,17033.25,8,99.99
Unique Computer Inc.,2020-07-04,9,193.5,17028,0,17028,9,99.99
"Diverse Lynx, LLC",2023-11-30,16,298,17012.97,0,17012.97,10,99.99
Experis,2014-01-31,11,245,17010,0,17010,11,99.99
APEX-2000 Inc.,2022-06-30,11,263,17007.83,0,17007.83,9,99.99
Genesis Corp,2015-07-25,7,192,17000,0,17000,7,99.99
Inter-American Development Bank,2017-01-31,10,200,17000,0,17000,7,99.99
"Diverse Lynx, LLC",2019-10-31,24,360,16996,0,16996,17,99.99
"Digital Intelligence Systems, LLC (DISYS)",2019-11-30,7,172,16991.88,0,16991.88,7,99.99
e&e IT Consulting Services,2020-05-31,7,194,16975,0,16975,7,99.99
Pontoon Solutions Inc.,2021-02-28,5,200,16973.6,0,16973.6,5,99.99
IDC Technologies,2017-10-31,10,304,16970.18,0,16970.18,9,99.99
"NTT DATA, Inc",2014-09-30,11,272,16960,0,16960,9,99.99
Tek Systems,2021-10-09,8,244,16944.09,0,16944.09,8,99.99
"Unique IT Solutions,Inc",2016-11-30,7,160,16940.29,0,16940.29,5,99.99
Synechron Inc,2022-07-31,7,232,16936,0,16936,7,99.99
UNFI,2022-04-02,5,184,16928,0,16928,5,99.99
"Digital Intelligence Systems, LLC (DISYS)",2018-03-31,7,190,16910,0,16910,7,99.99
"Digital Intelligence Systems, LLC (DISYS)",2018-05-31,7,190,16910,0,16910,7,99.99
"Diverse Lynx, LLC",2023-04-30,8,296,16905.9,0,16905.9,8,99.99
"Diverse Lynx, LLC",2023-02-28,10,296,16905.9,0,16905.9,10,99.99
"Innovatis Technologies, LLC",2018-03-03,13,338,16900,0,16900,13,99.99
AIT Global Inc.,2025-04-30,15,169,16900,0,16900,10,99.99
AIT Global Inc.,2025-05-31,5,169,16900,0,16900,5,99.99
Trans American Information System,2014-04-30,12,352,16896,0,16896,12,99.99
Trans American Information System,2014-07-31,10,352,16896,0,16896,10,99.99
"SPAR Solutions, LLC",2020-09-05,8,211,16880,0,16880,8,99.99
"NTT DATA, Inc",2014-10-31,8,264,16880,0,16880,7,99.99
"iTech US, Inc",2019-05-25,8,296,16872,0,16872,8,99.99
Tek Systems,2020-01-25,11,284,16869.18,0,16869.18,9,99.99
"Pinnacle Software Consulting, Inc.",2023-05-31,10,328,16864,0,16864,10,99.99
"Innovatis Technologies, LLC",2019-03-02,11,322,16860,0,16860,11,99.99
Itbrainiac Inc,2017-02-28,10,324,16848,0,16848,10,99.99
IIT Inc.,2016-03-31,7,246.5,16842.5,0,16842.5,7,99.99
KPIT,2018-04-30,8,168,16837.6,0,16837.6,5,99.99
Tek Systems,2025-03-01,9,224,16829.6,0,16829.6,6,99.99
Inter-American Development Bank,2022-08-31,5,177,16815,0,16815,5,99.99
Senryo Technologies,2019-08-31,30,326,16806,0,16806,22,99.99
OpenSoft Inc.,2015-09-30,10,336,16800,0,16800,10,99.99
"iTech US, Inc",2021-09-30,10,336,16800,0,16800,10,99.99
Tekis Hub,2022-03-31,5,168,16800,0,16800,5,99.99
"Next Level Business Services, Inc.",2018-07-31,9,224,16800,0,16800,9,99.99
Synechron Inc,2024-11-09,8,240,16800,0,16800,8,99.99
Resource Research Company (RSC Solutions)),2018-03-31,15,480,16800,0,16800,14,99.99
"Gridpoint, Inc",2019-10-31,5,168,16800,0,16800,5,99.99
AIT Global Inc.,2025-03-31,6,168,16800,0,16800,5,99.99
Devcare Solutions,2018-03-31,9,200,16800,0,16800,9,99.99
Info Matrix Corporation,2022-07-31,10,320,16800,0,16800,10,99.99
Zion CloudsSolutions LLC,2019-04-27,5,200,16800,0,16800,5,99.99
International Solutions Group (ISG),2014-04-30,7,224,16800,0,16800,7,99.99
"Innovatis Technologies, LLC",2018-07-31,10,336,16800,0,16800,10,99.99
Graviton Consulting,2016-02-29,6,160,16800,0,16800,6,99.99
Clairvoyant Techno Solutions,2014-10-31,12,320,16800,0,16800,12,99.99
"Next Level Business Services, Inc.",2018-10-31,8,224,16800,0,16800,8,99.99
"Innovatis Technologies, LLC",2019-06-30,8,320,16800,0,16800,8,99.99
Pontoon Solutions Inc.,2022-05-21,5,168,16793.28,0,16793.28,5,99.99
"iTech US, Inc",2023-03-04,9,232,16784,0,16784,9,99.99
HireGenics Inc  (ACS Group),2024-12-31,5,192,16771.2,0,16771.2,5,99.99
"Thought Creek, Inc",2017-05-31,9,258,16770,0,16770,9,99.99
Logix Guru Inc.,2020-01-31,10,277,16756,0,16756,9,99.99
Tek Systems,2022-07-16,7,236,16755.49,0,16755.49,7,99.99
Genesis Corp,2015-01-24,8,190,16750,0,16750,8,99.99
"Pinnacle Software Consulting, Inc.",2021-12-31,10,326,16745,0,16745,10,99.99
"Next Level Business Services, Inc.",2021-09-18,7,182,16744,0,16744,7,99.99
Tek Systems,2015-08-22,9,286,16732.61,0,16732.61,9,99.99
"Gridpoint, Inc",2016-10-31,7,178,16732,0,16732,7,99.99
American Municipal Power Inc.,2024-02-03,6,176,16720,0,16720,6,99.99
"Unique IT Solutions,Inc",2019-05-04,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2019-05-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2020-01-31,5,176,16720,0,16720,5,99.99
American Municipal Power Inc.,2024-05-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2016-06-30,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2020-05-02,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2018-05-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2020-04-04,5,176,16720,0,16720,5,99.99
American Municipal Power Inc.,2024-08-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2018-03-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2020-10-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2017-05-31,5,176,16720,0,16720,5,99.99
Last Word Consulting Inc.,2018-05-31,10,352,16720,0,16720,10,99.99
"Unique IT Solutions,Inc",2021-04-30,5,176,16720,0,16720,5,99.99
Evoke Technologies Inc,2019-02-02,5,176,16720,0,16720,5,99.99
Evoke Technologies Inc,2019-03-02,5,160,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2021-09-04,5,176,16720,0,16720,5,99.99
American Municipal Power Inc.,2023-10-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2019-01-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2017-06-30,5,176,16720,0,16720,5,99.99
"Innovatis Technologies, LLC",2020-04-04,10,288,16720,0,16720,9,99.99
"Unique IT Solutions,Inc",2020-07-31,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2020-07-04,5,176,16720,0,16720,5,99.99
"Unique IT Solutions,Inc",2019-08-31,5,176,16720,0,16720,5,99.99
e&e IT Consulting Services,2020-09-05,8,191,16712.5,0,16712.5,8,99.99
"SPAR Solutions, LLC",2018-07-31,25,232,16704,0,16704,16,99.99
Tek Systems,2021-12-11,7,242,16701.45,0,16701.45,7,99.99
"iTech US, Inc",2024-03-23,5,200,16680,0,16680,5,99.99
VDart Inc,2017-04-30,8,308,16660,0,16660,8,99.99
"SK Net, LLC. (""SK Net"")",2015-07-31,6,185,16650,0,16650,6,99.99
ProActive Staffing Strategies Inc .,2024-11-02,5,179,16647,0,16647,5,99.99
Matrix Solutions Corporation,2016-03-31,9,219,16644,0,16644,9,99.99
Judge Group,2019-04-13,6,240,16640,0,16640,6,99.99
Unique Computer Inc.,2021-09-04,7,188,16638,0,16638,7,99.99
Emergere Technologies,2022-01-31,8,221,16636,0,16636,8,99.99
BCforward,2018-07-31,10,336,16632,0,16632,10,99.99
BCforward,2018-05-05,10,336,16632,0,16632,10,99.99
BCforward,2018-01-31,10,336,16632,0,16632,10,99.99
BCforward,2018-06-30,10,335.75,16620.12,0,16620.12,10,99.99
HireGenics Inc  (ACS Group),2022-02-28,10,190,16596.5,0,16596.5,10,99.99
Axiom Global Technologies Inc.,2018-06-30,20,338,16562,0,16562,16,99.99
Unique Computer Inc.,2020-08-08,6,186.5,16561.2,0,16561.2,6,99.99
"Predictif Solutions, LLC",2021-10-02,6,180,16560,0,16560,6,99.99
Cyberbahn Federal Solutions LLC,2021-04-03,5,184,16560,0,16560,5,99.99
"SK Net, LLC. (""SK Net"")",2018-08-31,5,184,16560,0,16560,5,99.99
"SK Net, LLC. (""SK Net"")",2017-03-31,5,184,16560,0,16560,5,99.99
Okaya Inc.,2022-03-31,5,184,16560,0,16560,5,99.99
AIT Global Inc.,2022-03-31,5,184,16560,0,16560,5,99.99
"iTech US, Inc",2024-01-27,5,200,16560,0,16560,5,99.99
"SK Net, LLC. (""SK Net"")",2017-08-31,5,184,16560,0,16560,5,99.99
"Innovatis Technologies, LLC",2017-03-31,10,368,16560,0,16560,10,99.99
"Vendorpaas, Inc.",2022-08-31,5,184,16554.48,0,16554.48,5,99.99
SevenTablets Inc.,2024-09-30,23,544,16552,0,16552,20,99.99
Knowledge Builders Inc,2025-04-05,6,187,16549.5,0,16549.5,5,99.99
Knowledge Builders Inc,2025-04-30,5,187,16549.5,0,16549.5,5,99.99
MindEdge Solutions,2023-05-31,5,176,16544,0,16544,5,99.99
Okaya Inc.,2023-06-03,5,176,16544,0,16544,5,99.99
Okaya Inc.,2023-08-31,5,176,16544,0,16544,5,99.99
Okaya Inc.,2023-10-31,5,176,16544,0,16544,5,99.99
"Gridpoint, Inc",2016-06-30,5,176,16544,0,16544,5,99.99
MindEdge Solutions,2023-06-30,5,176,16544,0,16544,5,99.99
Okaya Inc.,2024-04-30,14,176,16544,0,16544,9,99.99
"Gridpoint, Inc",2017-06-30,5,176,16544,0,16544,5,99.99
"Gridpoint, Inc",2017-10-31,5,176,16544,0,16544,5,99.99
"Gridpoint, Inc",2018-01-31,5,176,16544,0,16544,5,99.99
Resource Research Company (RSC Solutions)),2017-11-30,20,472,16520,0,16520,15,99.99
EdgeRock,2015-06-30,16,180,16516.44,0,16516.44,10,99.99
"IDC Technologies, Inc",2024-01-31,9,240,16511.28,0,16511.28,9,99.99
"Next Level Business Services, Inc.",2018-05-31,8,220,16500,0,16500,8,99.99
"iTech US, Inc",2021-08-28,6,240,16493.28,0,16493.28,6,99.99
"iTech US, Inc",2021-10-09,8,240,16493.28,0,16493.28,8,99.99
Tek Systems,2021-07-03,13,240,16488.07,0,16488.07,13,99.99
"iTech US, Inc.",2017-04-30,8,320,16464,0,16464,8,99.99
AIT Global Inc.,2024-02-29,6,164.5,16450,0,16450,6,99.99
360 IT Professionals Inc,2017-03-31,14,368,16437.65,0,16437.65,10,99.99
Rose International,2019-08-03,7,187,16433.23,0,16433.23,7,99.99
"Diverse Lynx, LLC",2019-07-31,11,347,16426,0,16426,10,99.99
VHL Technologies Inc.,2022-08-31,10,225,16425,0,16425,10,99.99
HireGenics Inc  (ACS Group),2021-09-04,8,188,16421.8,0,16421.8,8,99.99
KPIT,2018-03-03,11,176,16420,0,16420,11,99.99
Tekis Hub,2016-06-30,7,176,16416.93,0,16416.93,5,99.99
Tek Systems,2021-06-26,8,243,16416.23,0,16416.23,8,99.99
Infojini Inc,2018-07-31,5,152,16416,0,16416,5,99.99
Nextgen Information Services,2022-04-30,9,288,16416,0,16416,9,99.99
CompNova,2017-07-31,11,320,16410,0,16410,10,99.99
Tek Systems,2021-10-02,15,235,16406.58,0,16406.58,14,99.99
Software People Inc,2017-07-31,12,334,16401.75,0,16401.75,12,99.99
Priserve Consulting Inc,2015-01-31,10,328,16400,0,16400,10,99.99
Thretha Inc.,2024-09-30,10,240,16400,0,16400,10,99.99
"Digital Intelligence Systems, LLC (DISYS)",2019-06-30,7,166,16399.14,0,16399.14,7,99.99
"Digital Intelligence Systems, LLC (DISYS)",2020-02-29,5,166,16399.14,0,16399.14,5,99.99
"iTech US, Inc",2020-10-24,8,249,16388.64,0,16388.64,8,99.99
ProActive Staffing Strategies Inc .,2024-07-31,15,176,16368,0,16368,10,99.99
ProActive Staffing Strategies Inc .,2024-05-31,5,176,16368,0,16368,5,99.99
ProActive Staffing Strategies Inc .,2025-04-30,5,176,16368,0,16368,5,99.99
Trans American Information System,2014-03-31,11,341,16358,0,16358,11,99.99
Experis,2018-04-07,9,336,16352,0,16352,9,99.99
Software People Inc,2018-03-31,10,336,16350,0,16350,10,99.99
American Municipal Power Inc.,2025-05-31,5,172,16340,0,16340,5,99.99
Inter-American Development Bank,2023-03-31,5,172,16340,0,16340,5,99.99
"E-Solutions, Inc.",2021-11-30,11,310.5,16327.5,0,16327.5,11,99.99
Last Word Consulting Inc.,2017-02-28,15,408,16320,0,16320,15,99.99
"Satnam Data Systems, Inc.",2017-08-31,10,260,16302,0,16302,10,99.99
Devcare Solutions,2018-08-31,6,194,16296,0,16296,6,99.99
w3r Consulting,2021-10-09,11,240,16296,0,16296,11,99.99
Corvus Technology Resources,2017-08-31,7,194,16296,0,16296,7,99.99
Tekis Hub,2022-09-30,5,168,16296,0,16296,5,99.99
Tekis Hub,2022-10-31,5,168,16296,0,16296,5,99.99
w3r Consulting,2024-11-02,7,240,16296,0,16296,7,99.99
"Unique IT Solutions,Inc",2016-07-31,6,160,16295,0,16295,5,99.99
Staff Labs Inc,2015-05-31,7,160,16292.08,0,16292.08,5,99.99
"Digital Intelligence Systems, LLC (DISYS)",2019-03-31,9,183,16287,0,16287,9,99.99
Unique Computer Inc.,2021-12-31,5,184,16284,0,16284,5,99.99
Unique Computer Inc.,2022-04-16,5,184,16284,0,16284,5,99.99
"NGI Capital, Inc. dba Apex IT",2019-03-31,5,148,16280,0,16280,5,99.99
US Tech Solutions,2019-05-04,9,217,16275,0,16275,9,99.99
Tek Systems,2021-07-31,10,244,16260.17,0,16260.17,8,99.99
"Diverse Lynx, LLC",2019-05-04,11,344,16260,0,16260,10,99.99
"Pinnacle Software Consulting, Inc.",2022-01-31,10,316,16252,0,16252,10,99.99
"Innovatis Technologies, LLC",2017-11-30,12,325,16250,0,16250,12,99.99
Genesis Corp,2014-12-13,10,185,16250,0,16250,8,99.99
Resource Research Company (RSC Solutions)),2018-01-31,15,464,16240,0,16240,14,99.99
Inventions Inc.,2022-11-30,7,200,16240,0,16240,7,99.99
Unique Computer Inc.,2019-10-31,8,203,16240,0,16240,8,99.99
Tek Systems,2021-08-28,6,240,16238.25,0,16238.25,6,99.99
Tek Systems,2021-08-14,6,240,16238.25,0,16238.25,6,99.99
Pontoon Solutions Inc.,2018-06-18,7,232,16236.64,0,16236.64,7,99.99
Tek Systems,2020-03-14,10,247.92,16235.05,0,16235.05,8,99.99
Software People Inc,2017-09-30,12,334.5,16234.75,0,16234.75,12,99.99
Tek Systems,2022-08-27,6,216,16225.9,0,16225.9,6,99.99
"Unique IT Solutions,Inc",2016-09-30,6,168,16220.9,0,16220.9,5,99.99
Itbrainiac Inc,2016-04-30,10,328,16216,0,16216,9,99.99
Itbrainiac Inc,2016-02-29,10,328,16216,0,16216,10,99.99
Tekis Hub,2016-10-31,8,168,16210.87,0,16210.87,5,99.99
Tekis Hub,2016-09-30,8,168,16208.49,0,16208.49,5,99.99
"iTech US, Inc",2023-08-12,5,200,16200,0,16200,5,99.99
"iTech US, Inc",2023-08-26,5,200,16200,0,16200,5,99.99
"iTech US, Inc",2023-11-11,5,200,16200,0,16200,5,99.99
"iTech US, Inc",2023-10-28,5,200,16200,0,16200,5,99.99
"iTech US, Inc",2023-10-21,5,200,16200,0,16200,5,99.99
"Next Level Business Services, Inc.",2018-08-31,8,216,16200,0,16200,8,99.99
"iTech US, Inc",2023-09-23,5,200,16200,0,16200,5,99.99
"iTech US, Inc",2023-11-04,10,200,16200,0,16200,10,99.99
"iTech US, Inc",2023-10-07,5,200,16200,0,16200,5,99.99
Experis,2014-04-30,9,216,16200,0,16200,8,99.99
"Innovatis Technologies, LLC",2017-12-31,11,324,16200,0,16200,11,99.99
Inter-American Development Bank,2018-12-08,7,180,16200,0,16200,7,99.99
Zion CloudsSolutions LLC,2018-04-30,7,216,16200,0,16200,6,99.99
The Matlen Silver Group Inc.,2023-03-31,5,184,16192,0,16192,5,99.99
ThemeSoft Inc,2016-03-31,10,352,16192,0,16192,10,99.99
"Predictif Solutions, LLC",2019-07-31,5,176,16192,0,16192,5,99.99
Itbrainiac Inc,2015-10-31,10,352,16192,0,16192,10,99.99
Inter-American Development Bank,2020-08-31,7,176,16192,0,16192,7,99.99
"Thought Creek, Inc",2016-02-29,9,249,16185,0,16185,9,99.99
Tek Systems,2021-09-04,14,242,16180.35,0,16180.35,13,99.99
TCC Software Solutions,2014-05-31,21,337,16176,0,16176,16,99.99
"Gridpoint, Inc",2017-05-31,5,172,16168,0,16168,5,99.99
w3r Consulting,2022-09-03,11,238,16160.2,0,16160.2,11,99.99
Strategic Staffing Solutions.L.C.,2015-01-31,8,202,16160,0,16160,8,99.99
HireGenics Inc  (ACS Group),2024-03-30,5,185,16159.75,0,16159.75,5,99.99
Knowledge Builders Inc,2022-12-03,7,182.5,16151.25,0,16151.25,7,99.99
Bank United,2015-03-31,8,190,16150,0,16150,8,99.99
Corvus Technology Resources,2015-12-31,5,192,16128,0,16128,5,99.99
Trans American Information System,2014-06-30,10,336,16128,0,16128,10,99.99
Trans American Information System,2014-05-31,10,336,16128,0,16128,10,99.99
LVN Consulting Corp,2015-09-30,7,232,16112,0,16112,7,99.99
"Pinnacle Software Consulting, Inc.",2022-02-28,10,312,16112,0,16112,9,99.99
"Innovatis Technologies, LLC",2017-10-31,11,358,16110,0,16110,11,99.99
"Digital Intelligence Systems, LLC (DISYS)",2018-11-30,7,181,16109,0,16109,7,99.99
"Digital Intelligence Systems, LLC (DISYS)",2019-01-31,7,181,16109,0,16109,7,99.99
"Cynet Cystems,Inc",2016-08-31,13,264,16104,0,16104,9,99.99
"E-Solutions, Inc.",2021-12-31,11,308,16100,0,16100,10,99.99
Thretha Inc.,2024-11-30,10,236,16100,0,16100,10,99.99
"Pinnacle Software Consulting, Inc.",2023-01-31,10,312,16096,0,16096,10,99.99
"Pinnacle Software Consulting, Inc.",2023-04-30,8,312,16096,0,16096,8,99.99
Tekis Hub,2016-01-31,8,160,16092.59,0,16092.59,4,99.99
"Digital Intelligence Systems, LLC (DISYS)",2017-03-31,9,206,16068,0,16068,9,99.99
Reeva Corporation,2024-08-31,5,200.75,16060,0,16060,5,99.99
American Municipal Power Inc.,2025-04-30,5,169,16055,0,16055,5,99.99
AIT Global Inc.,2023-11-30,5,160.5,16050,0,16050,5,99.99
Tek Systems,2021-05-22,6,240,16045.25,0,16045.25,6,99.99
"iTech US, Inc",2024-05-18,5,192,16040,0,16040,5,99.99
Unique Computer Inc.,2019-09-30,10,200.5,16040,0,16040,10,99.99
Trans American Information System,2014-08-31,11,334,16036,0,16036,11,99.99
"Thought Creek, Inc",2014-10-31,9,188,16025.87,0,16025.87,6,99.99
w3r Consulting,2023-03-31,8,236,16024.4,0,16024.4,8,99.99
"Innovatis Technologies, LLC",2016-10-31,12,356,16020,0,16020,12,99.99
Infosys,2019-10-31,8,208,16016,0,16016,8,99.99
e&e IT Consulting Services,2020-10-31,6,183,16012.5,0,16012.5,6,99.99
Inter-American Development Bank,2022-09-03,5,184,16008,0,16008,5,99.99
Inter-American Development Bank,2022-04-02,5,184,16008,0,16008,5,99.99
ThemeSoft Inc,2017-08-31,10,368,16008,0,16008,10,99.99
"Next Level Business Services, Inc.",2023-09-02,5,184,16008,0,16008,5,99.99
Experis,2016-06-30,13,388,16008,0,16008,13,99.99
Software People Inc,2017-12-31,13,326,16001.75,0,16001.75,12,99.99
Tekis Hub,2022-07-31,5,160,16000,0,16000,5,99.99
"Gridpoint, Inc",2019-12-31,5,160,16000,0,16000,5,99.99
Info-Matrix Corporation,2022-11-30,10,280,16000,0,16000,10,99.99
Tekis Hub,2022-04-30,5,160,16000,0,16000,5,99.99
"Gridpoint, Inc",2019-08-10,5,160,16000,0,16000,5,99.99
